Paired evolution matrix comparison
Baseline: review10-v6-complete-before-owner-loss-20260820 (3 runs)
Candidate: review10-v7e-local-project-dedup-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 86/94.67; C 58/57; paired Δ med/mean -39/-37.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 29/24.33; C 29/27; paired Δ med/mean 0/+2.67 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 29/24.33; C 29/27; paired Δ med/mean 0/+2.67 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 29/24.33; C 29/27; paired Δ med/mean 0/+2.67 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 29/24.33; C 29/27; paired Δ med/mean 0/+2.67 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 13/12.33; C 11/10; paired Δ med/mean -2/-2.33 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 162/143.33; C 121/117; paired Δ med/mean -41/-26.33 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 162/143.33; C 121/117; paired Δ med/mean -41/-26.33 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 162/143.33; C 121/117; paired Δ med/mean -41/-26.33 (3 pairs)
  hypothesisCombineAttempts: B med/mean 21/19.33; C 24/24.33; paired Δ med/mean +3/+5 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 14/12.33; C 18/18.67; paired Δ med/mean +3/+6.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 7/7; C 7/5.67; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 2/2; C 1/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 17/13.33; C 5/5.67; paired Δ med/mean -11/-7.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 2/2; C 1/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 17/17.33; C 22/22.67; paired Δ med/mean +3/+5.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 87/94.33; C 87/95.33; paired Δ med/mean 0/+1 (3 pairs)
