Paired evolution matrix comparison
Baseline: baseline-civ61-breaks-20260822 (6 runs)
Candidate: candidate-civ61-breaks-v1-20260822 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  projectSearchEpisodes: B med/mean 16/26.67; C 47/58; paired Δ med/mean +31/+31.33 (3 pairs)
  projectDropEpisodes: B med/mean 82/73.33; C 94/96; paired Δ med/mean +1/+22.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 465/463.33; C 563/655; paired Δ med/mean +98/+191.67 (3 pairs)
  jointProjectsCompleted: B med/mean 6/4; C 6/5.33; paired Δ med/mean 0/+1.33 (3 pairs)
  productionProjectsCompleted: B med/mean 9/9.33; C 7/10; paired Δ med/mean 0/+0.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 8/8.33; C 12/13.67; paired Δ med/mean +4/+5.33 (3 pairs)
  totalStructures: B med/mean 4/4; C 8/7.67; paired Δ med/mean +4/+3.67 (3 pairs)
  completedStructures: B med/mean 1/1.67; C 3/3.33; paired Δ med/mean +2/+1.67 (3 pairs)
  constructionPlacements: B med/mean 11/11.67; C 18/19.33; paired Δ med/mean +7/+7.67 (3 pairs)
  containersBuilt: B med/mean 1/1.33; C 2/2; paired Δ med/mean +1/+0.67 (3 pairs)
  standingContainers: B med/mean 1/1.33; C 2/2; paired Δ med/mean +1/+0.67 (3 pairs)
  containerTransfers: B med/mean 52/44; C 17/15; paired Δ med/mean -30/-29 (3 pairs)
  storedUnits: B med/mean 96/94.67; C 26/25.33; paired Δ med/mean -55/-69.33 (3 pairs)
  movementActions: B med/mean 1193/1318.33; C 2023/1874.33; paired Δ med/mean +881/+556 (3 pairs)
  movementActionShare: B med/mean 51.97/53.1; C 64.83/65.36; paired Δ med/mean +14.95/+12.27 (3 pairs)
  spearsCrafted: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/1; C 1/0.67; paired Δ med/mean 0/-0.33 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 3/4.33; C 5/4.67; paired Δ med/mean 0/+0.33 (3 pairs)
  animalsHunted: B med/mean 2/2.67; C 1/1; paired Δ med/mean -2/-1.67 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 8/8.33; C 10/11; paired Δ med/mean +1/+2.67 (3 pairs)
  predictionAccuracy: B med/mean 20/13.33; C 40/47.56; paired Δ med/mean +40/+34.22 (3 pairs)
  dehydrationHibernations: B med/mean 10/11.33; C 12/12; paired Δ med/mean -1/+0.67 (3 pairs)
  assistedDependentHibernations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 6/6; C 6/6; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 1/1; C 2/4.33; paired Δ med/mean +2/+3.33 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 99/87.33; C 111/113.33; paired Δ med/mean +2/+26 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 85/79; C 96/97.67; paired Δ med/mean +1/+18.67 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 82/73.33; C 94/96; paired Δ med/mean +1/+22.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 25/27; C 30/30.33; paired Δ med/mean +5/+3.33 (3 pairs)
