Paired evolution matrix comparison
Baseline: candidate-causal-cultivation-v4 (6 runs)
Candidate: candidate-local-capability-v5 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  projectMaterialContributionProgress: B med/mean 178/172.33; C 216/214; paired Δ med/mean +47/+41.67 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 12/11; C 10/10; paired Δ med/mean -2/-1 (3 pairs)
  projectSearchCampaigns: B med/mean 10/10; C 10/8.67; paired Δ med/mean -1/-1.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 9/9; C 9/7.67; paired Δ med/mean -1/-1.33 (3 pairs)
  searchCampaignActive: B med/mean 1/1.33; C 1/1; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 1/1; C 1/1.33; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/1; C 0/1; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignClosed: B med/mean 6/6.67; C 5/5.33; paired Δ med/mean -1/-1.33 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 63/64.33; C 52/79; paired Δ med/mean +10/+14.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 52/40; C 34/44.33; paired Δ med/mean +11/+4.33 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 182/160.33; C 175/191.67; paired Δ med/mean +37/+31.33 (3 pairs)
  projectLogisticsFulfilled: B med/mean 178/156.33; C 174/186; paired Δ med/mean +32/+29.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 2/2.67; C 3/3.33; paired Δ med/mean +2/+0.67 (3 pairs)
  projectSearchEpisodes: B med/mean 63/64.33; C 52/79; paired Δ med/mean +10/+14.67 (3 pairs)
  projectDropEpisodes: B med/mean 77/76.33; C 94/90; paired Δ med/mean +20/+13.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 701/673; C 743/871; paired Δ med/mean +145/+198 (3 pairs)
  jointProjectsCompleted: B med/mean 1/0.67; C 2/1.67; paired Δ med/mean +1/+1 (3 pairs)
  productionProjectsCompleted: B med/mean 6/5.33; C 5/4.67; paired Δ med/mean -1/-0.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 5/5.67; C 13/12; paired Δ med/mean +6/+6.33 (3 pairs)
  totalStructures: B med/mean 9/9.33; C 17/14.67; paired Δ med/mean +8/+5.33 (3 pairs)
  completedStructures: B med/mean 2/1.67; C 2/2; paired Δ med/mean 0/+0.33 (3 pairs)
  constructionPlacements: B med/mean 12/13.67; C 23/23.67; paired Δ med/mean +11/+10 (3 pairs)
  containersBuilt: B med/mean 2/1.33; C 4/4.33; paired Δ med/mean +2/+3 (3 pairs)
  standingContainers: B med/mean 2/1.33; C 4/4.33; paired Δ med/mean +2/+3 (3 pairs)
  containerTransfers: B med/mean 2/1.67; C 11/11.67; paired Δ med/mean +9/+10 (3 pairs)
  storedUnits: B med/mean 2/1.67; C 9/11; paired Δ med/mean +7/+9.33 (3 pairs)
  movementActions: B med/mean 1373/1552; C 2215/1973.33; paired Δ med/mean +418/+421.33 (3 pairs)
  movementActionShare: B med/mean 47.89/51.41; C 65.61/63.39; paired Δ med/mean +8.4/+11.98 (3 pairs)
  spearsCrafted: B med/mean 4/3; C 1/1; paired Δ med/mean -3/-2 (3 pairs)
