Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v2-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 842/855; C 459/479; paired Δ med/mean -383/-376 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 842/855; C 459/479; paired Δ med/mean -383/-376 (3 pairs)
  hypothesisCombineAttempts: B med/mean 118/134.33; C 56/63.33; paired Δ med/mean -62/-71 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 92/101; C 40/43.33; paired Δ med/mean -59/-57.67 (3 pairs)
  hypothesisCombineResponses: B med/mean 35/33.33; C 21/20; paired Δ med/mean -14/-13.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 3/3.67; C 0/1; paired Δ med/mean -3/-2.67 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/33.67; C 0/8; paired Δ med/mean -24/-25.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 3/3.33; C 0/0.67; paired Δ med/mean -3/-2.67 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 116/130.67; C 56/62.33; paired Δ med/mean -59/-68.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 693/663; C 371/350; paired Δ med/mean -314/-313 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 89/97.67; C 40/42.67; paired Δ med/mean -56/-55 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 35/33; C 20/19.67; paired Δ med/mean -15/-13.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 6/4.67; C 6/4.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 13/14; C 11/9.33; paired Δ med/mean -2/-4.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 5/4.67; C 8/5.33; paired Δ med/mean +2/+0.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 4/3.67; C 7/5; paired Δ med/mean +3/+1.33 (3 pairs)
  hypothesisExertResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 2/1.67; C 2/2.33; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 16/18.67; C 9/8; paired Δ med/mean -10/-10.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 11/11; C 9/9; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 2/2; C 2/2; paired Δ med/mean -1/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 9/9; C 7/7; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 34/34.33; C 16/16.67; paired Δ med/mean -18/-17.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 32/31.33; C 20/18.67; paired Δ med/mean -17/-12.67 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 99/106.67; C 52/50.33; paired Δ med/mean -57/-56.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 16/19.67; C 14/14; paired Δ med/mean -2/-5.67 (3 pairs)
  hypothesisResponses: B med/mean 46/43.33; C 28/27.33; paired Δ med/mean -18/-16 (3 pairs)
