Paired evolution matrix comparison
Baseline: baseline-shared-living-v1-20260821 (3 runs)
Candidate: candidate-shared-living-v4-20260821 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 4/8.33; C 8/14; paired Δ med/mean +8/+5.67 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 304/333.67; C 603/615.33; paired Δ med/mean +318/+281.67 (3 pairs)
  projectProgressProjects: B med/mean 11/16.33; C 32/31.67; paired Δ med/mean +15/+15.33 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 201/214; C 389/385; paired Δ med/mean +209/+171 (3 pairs)
  projectMaterialContributionProgress: B med/mean 103/119.67; C 214/230.33; paired Δ med/mean +109/+110.67 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 2/3.67; C 8/8.67; paired Δ med/mean +5/+5 (3 pairs)
  projectSearchCampaigns: B med/mean 7/7; C 12/12.67; paired Δ med/mean +7/+5.67 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 6/5; C 10/9.67; paired Δ med/mean +6/+4.67 (3 pairs)
  searchCampaignActive: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  searchCampaignExhausted: B med/mean 4/2.67; C 8/7.33; paired Δ med/mean +5/+4.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean -1/-0.33 (3 pairs)
  searchCampaignClosed: B med/mean 2/2.67; C 4/4.67; paired Δ med/mean +2/+2 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 15/13; C 25/24.33; paired Δ med/mean +10/+11.33 (3 pairs)
  searchCampaignMaxTargets: B med/mean 3/2.67; C 4/4; paired Δ med/mean +1/+1.33 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 81/73; C 119/144; paired Δ med/mean +76/+71 (3 pairs)
  projectLogisticsFulfilled: B med/mean 75/69; C 111/127.67; paired Δ med/mean +68/+58.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 2/2; C 5/5; paired Δ med/mean +3/+3 (3 pairs)
  projectSearchEpisodes: B med/mean 15/13; C 25/24.33; paired Δ med/mean +10/+11.33 (3 pairs)
  projectDropEpisodes: B med/mean 47/47.67; C 80/93; paired Δ med/mean +49/+45.33 (3 pairs)
  projectLogisticsActionEvents: B med/mean 257/269.33; C 475/489.33; paired Δ med/mean +263/+220 (3 pairs)
  jointProjectsCompleted: B med/mean 2/1.67; C 3/3; paired Δ med/mean +1/+1.33 (3 pairs)
  productionProjectsCompleted: B med/mean 3/3.67; C 10/9.33; paired Δ med/mean +4/+5.67 (3 pairs)
