Paired evolution matrix comparison
Baseline: candidate-visible-dedup-capability-v9 (6 runs)
Candidate: review10-baseline-7a50b51-20260820 (9 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/3
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  projectProgressEvidenceCount: B med/mean 772/668.67; C 772/668.67; paired Δ med/mean 0/0 (3 pairs)
  projectProgressProjects: B med/mean 26/24.67; C 26/24.67; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 536/484; C 536/484; paired Δ med/mean 0/0 (3 pairs)
  projectMaterialContributionProgress: B med/mean 203/184.67; C 203/184.67; paired Δ med/mean 0/0 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 8/8; C 8/8; paired Δ med/mean 0/0 (3 pairs)
  projectSearchCampaigns: B med/mean 6/5.33; C 6/5.33; paired Δ med/mean 0/0 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 5/4.33; C 5/4.33; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActive: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignExhausted: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignSuperseded: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignClosed: B med/mean 2/2.67; C 2/2.67; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 55/47.33; C 55/47.33; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaxTargets: B med/mean 36/38.33; C 36/38.33; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
