Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v3-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 452/433; C 319/336.67; paired Δ med/mean -92/-96.33 (3 pairs)
  projectLogisticsFulfilled: B med/mean 423/406.67; C 305/317.33; paired Δ med/mean -83/-89.33 (3 pairs)
  projectLogisticsExhausted: B med/mean 17/18.33; C 14/15; paired Δ med/mean -3/-3.33 (3 pairs)
  projectSearchEpisodes: B med/mean 59/78.33; C 68/64.33; paired Δ med/mean -15/-14 (3 pairs)
  projectDropEpisodes: B med/mean 325/303.33; C 205/228; paired Δ med/mean -56/-75.33 (3 pairs)
  projectLogisticsActionEvents: B med/mean 1910/1699; C 1194/1247.33; paired Δ med/mean -511/-451.67 (3 pairs)
  jointProjectsCompleted: B med/mean 12/11.67; C 11/8.67; paired Δ med/mean -3/-3 (3 pairs)
  productionProjectsCompleted: B med/mean 24/26.67; C 24/23.67; paired Δ med/mean -9/-3 (3 pairs)
  constructionProjectsCompleted: B med/mean 24/29.33; C 22/24.33; paired Δ med/mean -4/-5 (3 pairs)
  totalStructures: B med/mean 13/13.33; C 15/15; paired Δ med/mean +2/+1.67 (3 pairs)
  completedStructures: B med/mean 3/3.67; C 3/3.33; paired Δ med/mean 0/-0.33 (3 pairs)
  constructionPlacements: B med/mean 35/40.67; C 33/35.33; paired Δ med/mean -2/-5.33 (3 pairs)
  containersBuilt: B med/mean 5/6.33; C 4/4.67; paired Δ med/mean -2/-1.67 (3 pairs)
  standingContainers: B med/mean 5/6.33; C 4/4.67; paired Δ med/mean -2/-1.67 (3 pairs)
  containerTransfers: B med/mean 191/200.33; C 202/207; paired Δ med/mean +8/+6.67 (3 pairs)
  storedUnits: B med/mean 365/340.67; C 334/307.67; paired Δ med/mean -88/-33 (3 pairs)
  movementActions: B med/mean 9305/9256.67; C 7055/7184; paired Δ med/mean -3244/-2072.67 (3 pairs)
  movementActionShare: B med/mean 69.34/68.61; C 63.18/63.03; paired Δ med/mean -6.16/-5.58 (3 pairs)
  spearsCrafted: B med/mean 4/5.33; C 3/2.67; paired Δ med/mean -2/-2.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 1/1.33; C 2/1.33; paired Δ med/mean 0/0 (3 pairs)
  recordsCreated: B med/mean 0/0.67; C 1/1.67; paired Δ med/mean +1/+1 (3 pairs)
  functionalInstitutions: B med/mean 13/17.67; C 12/13.33; paired Δ med/mean -4/-4.33 (3 pairs)
  animalsHunted: B med/mean 1/1.33; C 2/2; paired Δ med/mean +1/+0.67 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  predictionAccuracy: B med/mean 27.78/27.04; C 40/34.96; paired Δ med/mean +11.11/+7.93 (3 pairs)
  dehydrationHibernations: B med/mean 107/103.67; C 100/98.67; paired Δ med/mean -4/-5 (3 pairs)
  assistedDependentHibernations: B med/mean 32/32; C 25/24.33; paired Δ med/mean -8/-7.67 (3 pairs)
  throughMonth: B med/mean 360/360; C 360/360; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 5/5.67; C 9/9.67; paired Δ med/mean +4/+4 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 369/341; C 239/257.67; paired Δ med/mean -60/-83.33 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 340/317.33; C 235/241.33; paired Δ med/mean -59/-76 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 325/303.33; C 205/228; paired Δ med/mean -56/-75.33 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 134/150; C 110/111.67; paired Δ med/mean -31/-38.33 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 134/150; C 110/111.67; paired Δ med/mean -31/-38.33 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 134/150; C 110/111.67; paired Δ med/mean -31/-38.33 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 134/150; C 110/111.67; paired Δ med/mean -31/-38.33 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 68/66.33; C 55/54.33; paired Δ med/mean -13/-12 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 842/855; C 662/667; paired Δ med/mean -180/-188 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 842/855; C 662/667; paired Δ med/mean -180/-188 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 842/855; C 662/667; paired Δ med/mean -180/-188 (3 pairs)
  hypothesisCombineAttempts: B med/mean 118/134.33; C 102/100.33; paired Δ med/mean -27/-34 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 92/101; C 75/74; paired Δ med/mean -17/-27 (3 pairs)
  hypothesisCombineResponses: B med/mean 35/33.33; C 24/26.33; paired Δ med/mean -11/-7 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 3/3.67; C 3/3.67; paired Δ med/mean -3/0 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/33.67; C 24/24; paired Δ med/mean -24/-9.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 3/3.33; C 2/3.33; paired Δ med/mean -3/0 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 116/130.67; C 99/96.67; paired Δ med/mean -33/-34 (3 pairs)
