Paired evolution matrix comparison
Baseline: granary-dedup-baseline-v1-20260820 (3 runs)
Candidate: granary-dedup-candidate-v2-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 109/117.33; C 75/74.67; paired Δ med/mean -38/-42.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 103/113.67; C 73/73; paired Δ med/mean -34/-40.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 2/2.33; C 1/1; paired Δ med/mean -1/-1.33 (3 pairs)
  projectSearchEpisodes: B med/mean 9/11.67; C 4/3.67; paired Δ med/mean -5/-8 (3 pairs)
  projectDropEpisodes: B med/mean 80/81.67; C 54/53.67; paired Δ med/mean -25/-28 (3 pairs)
  projectLogisticsActionEvents: B med/mean 373/388.67; C 210/211.67; paired Δ med/mean -172/-177 (3 pairs)
  jointProjectsCompleted: B med/mean 2/2; C 1/0.67; paired Δ med/mean -1/-1.33 (3 pairs)
  productionProjectsCompleted: B med/mean 4/5.33; C 4/5; paired Δ med/mean -1/-0.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 8/7; C 5/4.67; paired Δ med/mean -2/-2.33 (3 pairs)
  totalStructures: B med/mean 4/5; C 3/3.67; paired Δ med/mean -1/-1.33 (3 pairs)
  completedStructures: B med/mean 2/2; C 1/1.33; paired Δ med/mean -1/-0.67 (3 pairs)
  constructionPlacements: B med/mean 13/12.33; C 8/7.67; paired Δ med/mean -5/-4.67 (3 pairs)
  containersBuilt: B med/mean 3/2.67; C 1/1; paired Δ med/mean -2/-1.67 (3 pairs)
  standingContainers: B med/mean 3/2.67; C 1/1; paired Δ med/mean -2/-1.67 (3 pairs)
  containerTransfers: B med/mean 9/8.67; C 3/3; paired Δ med/mean -6/-5.67 (3 pairs)
  storedUnits: B med/mean 4/4.67; C 1/1; paired Δ med/mean -2/-3.67 (3 pairs)
  movementActions: B med/mean 1253/1252.67; C 860/773; paired Δ med/mean -461/-479.67 (3 pairs)
  movementActionShare: B med/mean 40.53/41.02; C 27.79/30.45; paired Δ med/mean -12.36/-10.57 (3 pairs)
  spearsCrafted: B med/mean 1/1; C 1/0.67; paired Δ med/mean 0/-0.33 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 3/2.67; C 1/1.33; paired Δ med/mean -2/-1.33 (3 pairs)
  animalsHunted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 9/9.33; C 9/9.33; paired Δ med/mean 0/0 (3 pairs)
  dehydrationHibernations: B med/mean 21/22; C 24/25; paired Δ med/mean +3/+3 (3 pairs)
  assistedDependentHibernations: B med/mean 5/4.67; C 5/6.33; paired Δ med/mean 0/+1.67 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
